Time,G Force Long Filtered,G Force Lat Filtered,G Force Vert Filtered,Corr Speed,Steering Wheel Angle,Susp Pos FL,Susp Pos FR,Susp Pos RL,Susp Pos RR
s,G,G,G,km/h,deg,mm,mm,mm,mm
,,,,,,,,,
,,,,,,,,,
97.4,-0.154,-0.229,1.035,243.2,-7,72.16,75.27,73.46,81.02
97.6,-0.164,-0.295,1.031,244,-9,76.22,78.93,75.85,84.48
97.8,-0.162,-0.353,1.04,244,-7,73.04,78.16,70.17,79.48
98,0.383,-0.289,1.012,237.9,-4,82.56,86.11,80.47,87
98.2,2.004,0.024,1.056,221.4,-3,78.9,75.64,70.25,72.26
98.4,1.942,0.12,1.045,208.7,-12,80.69,79.19,73.71,73.67
98.6,1.675,0.021,1.048,194.3,-18,70.73,71.68,64.7,69.4
98.8,1.319,-0.479,1.007,184.9,-11,75.16,82.19,66.19,76.96
99,1.407,-0.564,0.981,176,-27,72.56,80.29,56.32,72.99
99.2,0.869,-1.074,0.972,169,-21,66.3,75.93,54.23,73.76
99.4,0.8,-0.798,0.957,163.9,-34,68.93,77.47,48.46,71.15
99.6,0.486,-1.249,0.948,159.8,-64,61.35,77.87,45.72,73.71
99.8,0.137,-1.508,0.913,158.4,-81,61.24,85.49,39.48,75.51
100,0.28,-1.228,0.875,157.1,-72,66.73,82.52,35.38,58.11
100.2,0.024,-1.57,0.892,152.1,-93,46.26,54.02,31.66,50
100.4,-0.005,-1.718,0.859,152.7,-100,55.67,84.68,49.61,81.58
100.6,-0.024,-1.695,0.949,153,-95,66.55,81.68,41.62,77.43
100.8,-0.286,-1.613,1.025,152.4,-59,53.22,66.08,40,73.93
101,-0.303,-1.355,0.996,154,-27,59.67,71.2,42.26,67.94
101.2,-0.46,-1.262,0.961,156.8,-9,63.8,72.71,58.03,80.12
101.4,-0.327,0.335,0.954,159.4,75,76.52,62.23,73.8,57.64
101.6,-0.242,1.645,0.952,159.8,68,69.41,51.17,70.98,49.18
101.8,-0.019,1.517,0.922,159.4,79,81.75,59.08,75.51,47.86
102,0.053,1.974,0.946,159.4,70,82.56,60.4,91.15,60.04
102.2,-0.222,1.095,0.957,159.4,67,68.05,57.65,62.22,50.94
102.4,-0.315,1.212,0.918,160.1,75,62.08,55.42,57.05,48.11
102.6,-0.363,1.517,0.854,162.5,72,76.22,55.82,78.93,55.47
102.8,-0.346,1.446,0.844,164.9,76,73.88,57.83,76.15,52.05
103,-0.342,1.481,0.835,166.7,61,77.43,57.65,76.45,51.7
103.2,-0.361,1.64,0.848,168.2,47,75.45,58.53,76.88,55.59
103.4,-0.344,0.963,0.838,172.4,46,82.19,63.62,74.91,68.8
103.6,-0.337,0.706,0.898,172.4,44,57.69,55.93,49.27,51.32
103.8,-0.391,0.912,0.878,176,12,76.15,63.84,79.57,65.25
104,-0.389,0.365,0.894,176,-1,59.7,59.45,56.83,54.65
104.2,-0.363,-0.127,0.877,179.7,-3,59.52,67.03,64.48,66.7
104.4,-0.341,-0.327,0.88,179.7,6,70.62,73.11,74.01,80.08
104.6,1.413,0.109,0.904,165.3,9,78.64,74.94,66.88,64.57
104.8,1.648,0.332,0.917,154,1,75.67,68.42,68.71,64.23
105,1.316,0.639,0.919,146.3,18,78.31,67.8,67.39,56.79
105.2,1.36,0.704,0.922,137.1,12,77.98,67.65,64.4,52.9
105.4,1.165,0.933,0.923,128.3,8,74.61,65.16,66.79,56.41
105.6,1.027,0.708,0.911,121.6,33,76.77,64.98,62.9,54.78
105.8,1.012,1.136,0.912,114.8,30,79.01,66,66.32,49.78
106,0.609,1.141,0.928,109.6,51,77.36,63.26,66.7,52
106.2,0.743,1.115,0.953,105.9,69,79.08,64.13,70.34,48.76
106.4,0.543,1.207,0.968,101.5,97,78.6,61.02,64.82,41.7
106.6,0.272,1.402,0.958,99.6,117,77.17,60.84,63.16,41.19
106.8,0.368,1.563,0.939,96.2,119,81.72,62.08,66.49,43.24
107,0.303,1.507,0.933,94.4,120,78.9,61.83,63.33,40.72
107.2,0.04,1.623,0.923,93.1,135,78.05,58.16,70.21,44.7
107.4,0.356,1.41,0.926,91.6,133,80.62,63.11,65.21,40.76
107.6,-0.261,1.505,0.928,91.3,127,72.16,56.73,69.44,46.83
107.8,-0.419,1.335,0.924,94.4,118,71.2,54.65,69.7,49.87
108,-0.435,1.324,0.913,97.9,114,75.2,58.71,75.47,50.12
108.2,-0.411,1.384,0.923,101.4,80,75.86,60.95,71.41,47.22
108.4,-0.459,1.285,0.929,103.5,75,70.36,57.47,61.45,46.96
108.6,-0.494,1.656,0.938,106.1,86,73.47,55.97,77.9,52.94
108.8,-0.528,1.368,0.951,109.9,85,75.27,55.53,76.96,53.71
109,-0.536,1.366,0.96,113.5,73,71.24,55.64,74.48,52.99
109.2,-0.533,1.252,0.943,116.8,52,70.98,56.22,70.94,52.82
109.4,-0.536,1.388,0.917,120.1,53,73.07,57.17,75.98,52.82
109.6,-0.614,1.347,0.911,123.8,49,74.28,58.13,79.44,57.05
109.8,-0.559,1.065,0.925,128.3,63,72.12,59.85,72.77,56.58
110,-0.527,1.225,0.933,131.7,57,72.41,58.27,73.33,56.79
110.2,-0.512,1.219,0.94,134.9,58,71.42,57.47,74.1,55.08
110.4,-0.282,1.135,0.93,136.9,53,69.7,56.37,69.01,49.57
110.6,-0.509,1.194,0.893,138.1,42,78.16,58.09,77.77,60.12
110.8,-0.466,0.78,0.892,143.5,41,64.57,60.65,64.95,58.58
111,-0.484,0.726,0.88,146.6,26,66.95,60.8,73.54,60.76
111.2,-0.497,0.614,0.875,150,12,72.93,63.29,71.83,62.77
111.4,-0.465,0.374,0.891,153.7,7,67.06,63.26,65,63.67
111.6,-0.472,0.109,0.896,157.1,-1,63.29,68.27,66.45,70.59
111.8,-0.433,-0.231,0.913,159.1,-5,61.86,69.04,58.07,66.36
112,-0.437,-0.232,0.936,163.9,-1,69.34,70.29,59.23,71.06
112.2,-0.419,-0.211,0.958,165.7,-4,67.06,68.05,64.78,70.55
112.4,-0.402,-0.115,0.96,169,0,69.34,70.1,63.76,67.05
112.6,-0.387,0.009,0.962,171.2,-3,68.9,69.41,66.75,69.27
112.8,-0.201,-0.068,0.966,172.4,-5,69.45,70.29,63.76,67.9
113,-0.387,-0.076,0.953,175.2,-6,68.49,69.63,65.17,69.78
113.2,-0.375,-0.115,0.949,177.6,-5,68.9,70.1,65.08,70.85
113.4,-0.376,-0.117,0.948,180.1,-4,69.23,70.62,67.09,72.64
113.6,-0.366,-0.112,0.944,183.1,-3,69.34,70.4,64.23,68.97
113.8,-0.356,-0.054,0.943,185.4,-1,70.36,70.54,66.41,69.82
114,-0.345,-0.039,0.942,187.7,-4,71.35,71.17,67.86,70.59
114.2,-0.338,-0.093,0.952,189.5,-3,69.23,70.29,65.98,70.51
114.4,-0.328,-0.069,0.95,191.9,-3,70.14,70.69,66.79,70.98
114.6,-0.311,-0.052,0.946,194.3,-2,70.98,70.58,67.73,70.76
114.8,-0.3,0.024,0.942,196.3,0,74.54,73.4,71.96,74.65
115,-0.279,0.015,0.951,198.9,-2,67.76,68.53,61.92,65.59
115.2,-0.279,-0.017,0.938,200.5,-3,72.34,72.93,69.1,72.52
115.4,-0.278,-0.042,0.946,203.1,-3,70.18,70.4,68.54,72.43
115.6,-0.218,-0.051,0.941,203.7,-5,71.68,71.64,67.43,72.17
